Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
Oregon,13,58,30182428.57,27583763.32,818444.23,688505.69,129938.54,"3,683"
Oakwood Hills,1,4,216669.74,199790.23,5281.38,4433.69,847.69,"2,245"
Merrionette Park,4,17,26567816.26,24324921.75,706616.85,594470.85,112146.0,"2,163"
Ashkum,2,8,2289711.66,2113123.06,55674.55,46845.11,8829.44,800
Grandview,5,25,13713301.51,12475853.83,390048.01,328175.5,61872.51,"1,453"
Catlin,2,8,2173863.55,1990850.19,57743.15,48592.41,9150.74,"2,077"
Warsaw,3,9,1285385.43,1175094.35,34905.69,29391.2,5514.49,"1,482"
Du Bois,3,13,2703999.04,2494188.12,65996.14,55501.39,10494.75,150
Mount Morris,7,31,9106738.43,8375722.36,230430.01,193877.88,36552.13,"2,841"
Abingdon,4,16,6492446.76,5968296.97,165040.02,138832.38,26207.64,"3,452"
Alsip,15,75,69219268.18,63475612.16,1809173.18,1521987.73,287185.45,"19,179"
Milledgeville,4,17,3975564.66,3637695.08,106286.23,89392.63,16893.6,"1,072"
Mount Olive,8,37,12134680.12,11170850.36,303327.77,255119.95,48207.82,"1,996"
Carterville,1,5,5365361.17,4924393.74,139625.99,117564.36,22061.63,"5,848"
Robbins,3,13,5303273.6,4823587.41,150698.16,126713.76,23984.4,"5,003"
Beach Park,6,27,21367120.42,19534138.13,575163.19,483513.17,91650.02,"13,534"
Mount Prospect,11,51,11772106.16,10766910.83,321955.91,271694.92,50260.99,"55,127"
Montgomery,11,54,36082036.44,33151666.78,925378.85,778857.61,146521.24,"19,216"
Westmont,17,85,94218205.17,86559443.09,2412535.3,2029573.29,382962.01,"25,036"
Hindsboro,3,14,3980149.3,3658291.79,101420.3,85325.79,16094.51,434
Burnham,3,15,12017922.67,11067215.73,299016.57,251480.63,47535.94,"4,189"
Rochester,5,20,9211947.63,8493719.31,227499.43,191586.94,35912.49,"3,696"
Raymond,2,10,3167442.23,2914815.38,79380.23,66748.87,12631.36,852
Brocton,1,5,1017524.13,930900.19,27214.05,22882.79,4331.26,383
Morrison,4,20,8039856.78,7353179.15,216943.63,182608.51,34335.12,"3,872"
Crest Hill,18,81,43051988.48,39554210.96,1102526.3,927636.26,174890.04,"20,379"
St. Peter,2,6,2063864.12,1913925.25,47045.78,39548.8,7496.98,444
Mounds,1,3,1021733.1,938023.8,26437.22,22251.76,4185.46,926
Hillside,5,25,10925875.16,9885398.64,327720.57,275695.6,52024.97,"8,096"
Dallas City,2,6,2935856.64,2684811.07,78696.42,66144.14,12552.28,944
Oak Lawn,41,203,189382882.8,174432763.93,4707465.01,3959928.11,747536.9,"56,420"
Harvard,18,82,30374646.16,27793161.9,815080.05,686002.79,129077.26,"9,292"
Argenta,2,9,3030025.48,2793157.85,74506.6,62663.17,11843.43,"1,140"
Villa Grove,4,18,5111488.12,4667136.88,140115.18,117897.45,22217.73,"2,332"
Litchfield,15,71,43282724.29,39617279.96,1156197.28,972914.29,183282.99,"7,015"
Mark,1,5,1683620.79,1550696.26,41687.08,35039.62,6647.46,544
Hoffman,1,4,893495.3,818169.2,23665.35,19899.04,3766.31,464
Elizabethtown,2,8,1834531.81,1683639.82,47301.99,39757.36,7544.63,261
Wadsworth,11,55,91710136.37,84010557.18,2424438.38,2039448.21,384990.17,"3,584"
Shabbona,2,8,4105025.57,3798509.54,96074.79,80747.52,15327.27,996
Woodhull,6,24,11537743.07,10553609.81,310391.77,261184.97,49206.8,817
Flossmoor,2,10,2606583.73,2396332.03,66505.1,55991.52,10513.58,"9,427"
Mahomet,4,19,11107034.22,10174633.77,293527.45,246905.12,46622.33,"8,327"
Loves Park,58,285,235808617.73,216183853.96,6177830.36,5196561.97,981268.39,"24,043"
Keyesport,4,20,7216592.19,6640766.06,181084.36,152292.73,28791.63,399
Maywood,1,5,4549999.47,4134229.12,130985.95,110197.37,20788.58,"23,810"
Sandwich,13,61,22213929.92,20360811.05,583393.45,490724.78,92668.67,"7,617"
Elmwood Park,24,115,111119340.37,101561642.08,3010208.76,2532318.01,477890.75,"24,680"
Northlake,12,58,28801687.06,26429057.97,748007.05,629367.54,118639.51,"12,351"
South Jacksonville,10,49,27915775.97,25584178.77,732265.55,615683.21,116582.34,"3,194"
Gardner,3,13,3164897.49,2901903.95,82337.15,69187.4,13149.75,"1,375"
Martinsville,2,10,7774316.0,7180949.29,186576.05,156906.44,29669.61,"1,289"
Galena,9,37,16857477.71,15489699.21,432615.33,364225.9,68389.43,"3,399"
Teutopolis,6,24,13499049.45,12442299.05,332702.49,279862.73,52839.76,"1,837"
Maroa,3,14,5277861.23,4840507.68,137098.87,115231.08,21867.79,"1,674"
Park Forest,7,33,9697874.41,8848354.56,268230.86,225754.41,42476.45,"21,699"
Effingham,38,177,116897903.44,107626558.35,2914810.12,2451191.01,463619.11,"12,624"
Carol Stream,16,80,75484836.76,69275197.75,1957680.21,1647178.87,310501.34,"39,989"
Seneca,10,44,11963334.55,11008488.71,301691.39,253945.02,47746.37,"2,596"
Earlville,2,9,1522273.49,1405725.36,37275.9,31447.57,5828.33,"1,770"
Kilbourne,2,10,870007.94,791947.63,24592.91,20689.87,3903.04,322
Round Lake Heights,3,15,18375977.54,16913810.1,460492.79,387364.48,73128.31,"3,208"
Fairbury,6,27,8177067.39,7509114.55,210108.93,176711.11,33397.82,"3,597"
Washington,8,37,17391851.35,16036473.63,426211.23,358440.95,67770.28,"16,556"
Nebo,1,5,1069377.2,993765.6,23759.05,19978.47,3780.58,301
Woodridge,8,39,26995980.7,24703498.59,723807.72,609098.88,114708.84,"33,493"
Bishop Hill,1,3,860928.55,796059.04,20546.5,17303.05,3243.45,114
Creal Springs,1,4,699671.34,645231.66,17094.33,14372.29,2722.04,433
Pesotum,1,4,961747.56,892767.7,21670.07,18221.0,3449.07,501
Bourbonnais,5,23,10496971.24,9635724.68,271860.7,228795.69,43065.01,"19,526"
Minonk,5,21,8778702.8,8081513.2,219397.43,184535.93,34861.5,"2,208"
Lacon,7,29,8161276.49,7507886.64,205432.28,172762.63,32669.65,"1,815"
Riverdale,3,15,3716898.56,3388131.28,102517.69,86079.27,16438.42,"12,786"
Campbell Hill,2,8,4005328.31,3715924.17,91294.0,76823.81,14470.19,303
St. Johns,2,7,3734684.73,3468569.26,83737.57,70431.78,13305.79,257
Louisville,1,5,547471.59,503823.12,13899.62,11717.17,2182.45,"1,096"
Pittsfield,8,40,16917961.96,15613916.12,411231.37,346026.71,65204.66,"4,375"
Richmond,15,69,36319761.63,33401495.84,920572.87,774638.32,145934.55,"1,880"
Fairfield,7,33,17027773.76,15747565.24,408316.25,344302.52,64013.73,"5,077"
Sublette,4,13,3196011.27,2934852.59,82501.86,69443.85,13058.01,454
Capron,2,10,3395096.1,3134719.69,81478.29,68459.41,13018.88,"1,483"
Tallula,1,5,2185820.49,2035676.92,47081.98,39574.8,7507.18,488
Philo,3,14,6471559.05,5952853.67,163835.07,137899.75,25935.32,"1,500"
Fithian,1,5,1551726.37,1417302.74,42550.81,35829.62,6721.19,445
McLean,1,5,7762092.65,7144367.14,195111.3,164208.16,30903.14,793
Oglesby,15,68,26638603.89,24502908.56,672962.0,566176.53,106785.47,"3,669"
Marion,34,158,82611075.31,75702926.49,2175543.67,1830127.45,345416.22,"17,646"
Roanoke,3,9,2061231.4,1892158.97,53127.73,44674.34,8453.39,"2,032"
Gilman,9,39,18490055.23,17003294.61,467460.52,393122.28,74338.24,"1,824"
Altamont,8,36,11341008.97,10459061.33,276935.6,232838.13,44097.47,"2,260"
Durand,5,25,8235181.41,7573254.75,208650.13,175553.59,33096.54,"1,379"
Golconda,1,5,2502939.62,2307108.65,61707.65,51916.07,9791.58,781
Lily Lake,1,5,6526962.49,6018486.39,160534.41,135110.53,25423.88,"1,091"
Vermont,2,6,1007180.79,918552.6,27766.19,23334.74,4431.45,777
Red Bud,9,39,13395624.84,12324566.82,339129.22,285570.9,53558.32,"3,557"
Highland,16,74,28390092.54,25967622.98,763889.97,642761.97,121128.0,"10,020"
Steger,12,57,40657576.71,37381217.17,1031631.72,867808.79,163822.93,"9,439"
Belgium,2,9,6825757.9,6295510.12,166104.42,139591.88,26512.54,392
Arthur,3,15,4884542.47,4482140.09,126243.67,106123.51,20120.16,"2,622"
Mackinaw,1,4,1571058.75,1441878.7,40671.66,34212.62,6459.04,"2,023"
Ruma,2,6,820153.69,756664.64,19832.4,16657.89,3174.51,308
Hoopeston,7,32,15823457.47,14537859.07,404908.41,340622.79,64285.62,"5,229"
Toulon,2,4,1253265.42,1156253.23,30549.38,25698.73,4850.65,"1,276"
Normal,16,72,57591133.63,52713119.16,1535029.08,1291126.53,243902.55,"54,808"
Chenoa,4,20,11120340.44,10208370.97,287412.12,241813.98,45598.14,"2,037"
Divernon,6,30,10902019.31,9969008.3,293420.55,246768.27,46652.28,"1,098"
Germantown Hills,3,14,4013640.93,3667691.83,109231.68,91934.17,17297.51,"3,478"
Flanagan,3,14,4577228.32,4209855.71,116203.21,97804.92,18398.29,"1,013"
Bethalto,5,24,10777174.0,9898688.57,276815.2,232890.01,43925.19,"9,311"
Pecatonica,5,23,8941059.62,8205600.28,231704.82,194929.73,36775.09,"2,228"
Davis Junction,3,15,7040328.96,6469044.23,179486.81,150922.49,28564.32,"2,508"
Homer,1,4,1015936.86,933621.69,26004.85,21889.31,4115.54,"1,266"
Manteno,12,58,42234045.68,38739029.88,1100586.17,925833.28,174752.89,"8,652"
Pocahontas,6,26,8917135.65,8213062.21,221875.75,186671.99,35203.76,733
Alorton,2,10,16471038.15,14901598.19,494502.29,416023.0,78479.29,"1,965"
Stockton,6,30,16194574.23,14880180.16,413265.34,347544.38,65720.96,"2,027"
Long Grove,6,27,5336894.09,4868691.55,147090.01,123676.58,23413.43,"7,978"
Bull Valley,1,4,184113.23,169543.43,4554.35,3837.46,716.89,"1,267"
Easton,1,5,1179023.05,1088210.26,28681.29,24140.64,4540.65,297
Mattoon,29,143,98421812.57,90370524.26,2535640.43,2133073.02,402567.41,"17,597"
Peru,28,131,65483846.29,60248393.26,1647395.4,1385611.97,261783.43,"9,864"
