athlete_id,Athlete,Country,Gender
0,"HAJOS, Alfred",HUN,Men
1,"HERSCHMANN, Otto",AUT,Men
2,"DRIVAS, Dimitrios",GRE,Men
3,"MALOKINIS, Ioannis",GRE,Men
4,"CHASAPIS, Spiridon",GRE,Men
5,"CHOROPHAS, Efstathios",GRE,Men
6,"HAJOS, Alfred",HUN,Men
7,"ANDREOU, Joannis",GRE,Men
8,"CHOROPHAS, Efstathios",GRE,Men
9,"NEUMANN, Paul",AUT,Men
10,"PEPANOS, Antonios",GRE,Men
11,"LANE, Francis",USA,Men
12,"SZOKOLYI, Alajos",HUN,Men
13,"BURKE, Thomas",USA,Men
14,"HOFMANN, Fritz",GER,Men
15,"CURTIS, Thomas",USA,Men
16,"GOULDING, Grantley",GBR,Men
17,"LERMUSIAUX, Albin",FRA,Men
18,"FLACK, Edwin",AUS,Men
19,"BLAKE, Arthur",USA,Men
20,"GMELIN, Charles",GBR,Men
21,"BURKE, Thomas",USA,Men
22,"JAMISON, Herbert",USA,Men
23,"GOLEMIS, Dimitrios",GRE,Men
24,"FLACK, Edwin",AUS,Men
25,"DANI, Nandor",HUN,Men
26,"VERSIS, Sotirios",GRE,Men
27,"GARRETT, Robert",USA,Men
28,"PARASKEVOPOULOS, Panagiotis",GRE,Men
29,"CLARK, Ellery",USA,Men
30,"CONNOLLY, James",USA,Men
31,"GARRETT, Robert",USA,Men
32,"CONNOLLY, James",USA,Men
33,"CLARK, Ellery",USA,Men
34,"GARRETT, Robert",USA,Men
35,"KELLNER, Gyula",HUN,Men
36,"LOUIS, Spyridon",GRE,Men
37,"VASILAKOS, Kharilaos",GRE,Men
38,"DAMASKOS, Evangelos",GRE,Men
39,"THEODOROPOULOS, Ioannis",GRE,Men
40,"HOYT, William Welles",USA,Men
41,"TYLER, Albert",USA,Men
42,"PAPASIDERIS, Georgios",GRE,Men
43,"GARRETT, Robert",USA,Men
44,"GOUSKOS, Miltiadis",GRE,Men
45,"PERSAKIS, Ioannis",GRE,Men
46,"CONNOLLY, James",USA,Men
47,"TUFFERI, Alexandre",FRA,Men
48,"BATTEL, Edward",GBR,Men
49,"KONSTANTINIDIS, Aristidis",GRE,Men
50,"GOEDRICH, August",GER,Men
51,"FLAMENG, Léon",FRA,Men
52,"KOLETTIS, Georgios",GRE,Men
53,"SCHMAL, Adolf",AUT,Men
54,"MASSON, Paul",FRA,Men
55,"FLAMENG, Léon",FRA,Men
56,"SCHMAL, Adolf",AUT,Men
57,"KEEPING, Frank",GBR,Men
58,"SCHMAL, Adolf",AUT,Men
59,"MASSON, Paul",FRA,Men
60,"NIKOLOPOULOS, Stamatios",GRE,Men
61,"FLAMENG, Léon",FRA,Men
62,"MASSON, Paul",FRA,Men
63,"NIKOLOPOULOS, Stamatios",GRE,Men
64,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Men
65,"GRAVELOTTE, Eugène-Henri",FRA,Men
66,"CALLOT, Henri",FRA,Men
67,"PYRGOS, Leonidas",GRE,Men
68,"PERRONNET, Maurice",FRA,Men
69,"NIELSEN, Holger",DEN,Men
70,"GEORGIADIS, Ioannis",GRE,Men
71,"KARAKALOS, Telemachos",GRE,Men
72,"WEINGÄRTNER, Hermann",GER,Men
73,"FLATOW, Alfred",GER,Men
74,"FLATOW, Alfred",GER,Men
75,"ZUTTER, Louis",SUI,Men
76,"ZUTTER, Louis",SUI,Men
77,"WEINGÄRTNER, Hermann",GER,Men
78,"PERSAKIS, Petros",GRE,Men
79,"MITROPOULOS, Ioannis",GRE,Men
80,"WEINGÄRTNER, Hermann",GER,Men
81,"HOFMANN, Fritz",GER,Men
82,"ANDRIAKOPOULOS, Nicolaos",GRE,Men
83,"XENAKIS, Thomasios",GRE,Men
84,"BÖCKER, Konrad",GER,Men
85,"FLATOW, Alfred",GER,Men
86,"FLATOW, Gustav Felix",GER,Men
87,"HILMAR, Georg",GER,Men
88,"HOFMANN, Fritz",GER,Men
89,"MANTEUFFEL, Fritz",GER,Men
90,"NEUKIRCH, Karl",GER,Men
91,"RÖSTEL, Richard",GER,Men
92,"SCHUFT, Gustav",GER,Men
93,"SCHUMANN, Carl",GER,Men
94,"WEINGÄRTNER, Hermann",GER,Men
95,"CHRYSAPHIS, Ioannis",GRE,Men
96,"KARVELAS, Phillippos",GRE,Men
97,"LOUNDRAS, Dimitrios",GRE,Men
98,"MITROPOULOS, Ioannis",GRE,Men
99,"BÖCKER, Konrad",GER,Men
100,"FLATOW, Alfred",GER,Men
101,"FLATOW, Gustav Felix",GER,Men
102,"HILMAR, Georg",GER,Men
103,"HOFMANN, Fritz",GER,Men
104,"MANTEUFFEL, Fritz",GER,Men
105,"NEUKIRCH, Karl",GER,Men
106,"RÖSTEL, Richard",GER,Men
107,"SCHUFT, Gustav",GER,Men
108,"SCHUMANN, Carl",GER,Men
109,"WEINGÄRTNER, Hermann",GER,Men
110,"ANDRIAKOPOULOS, Nicolaos",GRE,Men
111,"ATHANASOPOULOS, Spyros",GRE,Men
112,"PERSAKIS, Petros",GRE,Men
113,"XENAKIS, Thomasios",GRE,Men
114,"WEINGÄRTNER, Hermann",GER,Men
115,"SCHUMANN, Carl",GER,Men
116,"ZUTTER, Louis",SUI,Men
117,"MORAKIS, Nikolaos",GRE,Men
118,"PAINE, John",USA,Men
119,"PAINE, Sumner",USA,Men
120,"NIELSEN, Holger",DEN,Men
121,"PHRANGOUDIS, Joannis",GRE,Men
122,"ORPHANIDIS, Georgios",GRE,Men
123,"PHRANGOUDIS, Joannis",GRE,Men
124,"PAINE, Sumner",USA,Men
125,"NIELSEN, Holger",DEN,Men
126,"TRIKUPIS, Nicolaos",GRE,Men
127,"KARASEVDAS, Pantelis",GRE,Men
128,"PAVLIDIS, Pavlos",GRE,Men
129,"JENSEN, Viggo",DEN,Men
130,"ORPHANIDIS, Georgios",GRE,Men
131,"PHRANGOUDIS, Joannis",GRE,Men
132,"FLACK, Edwin",ZZX,Men
133,"ROBERTSON, George Stuart",ZZX,Men
134,"BOLAND, John",ZZX,Men
135,"TRAUN, Friedrich",ZZX,Men
136,"KASDAGLIS, Dionysios",ZZX,Men
137,"PETROKOKKINOS, Demetrios",ZZX,Men
138,"PASPATIS, Konstantinos",GRE,Men
139,"TAPAVICZA, Momcsillo",HUN,Men
140,"BOLAND, John",GBR,Men
141,"KASDAGLIS, Dionysios",GRE,Men
142,"NIKOLOPOULOS, Alexandros",GRE,Men
143,"ELLIOTT, Launceston",GBR,Men
144,"JENSEN, Viggo",DEN,Men
145,"VERSIS, Sotirios",GRE,Men
146,"JENSEN, Viggo",DEN,Men
147,"ELLIOTT, Launceston",GBR,Men
148,"CHRISTOPOULOS, Stephanos",GRE,Men
149,"SCHUMANN, Carl",GER,Men
150,"TSITAS, Georgios",GRE,Men
151,"HALMAY, Zoltan",HUN,Men
152,"JARVIS, John Arthur",GBR,Men
153,"WAHLE, Otto",AUT,Men
154,"DROST, Johannes",NED,Men
155,"HOPPENBERG, Ernst",GER,Men
156,"RUBERL, Karl",AUT,Men
157,"RUBERL, Karl",AUT,Men
158,"LANE, Frederick C.V.",AUS,Men
159,"HALMAY, Zoltan",HUN,Men
160,"KEMP, Peter",GBR,Men
161,"LANE, Frederick C.V.",AUS,Men
162,"WAHLE, Otto",AUT,Men
163,HOUBEN,FRA,Men
164,"LEUILLIEUX, Jean",FRA,Men
165,"MARTIN, Louis",FRA,Men
166,"MERCHEZ, Désiré",FRA,Men
167,TARTARA,FRA,Men
168,"FREY, Julius",GER,Men
169,"HAINLE, Max",GER,Men
170,"HOPPENBERG, Ernst",GER,Men
171,"SCHÖNE, Max",GER,Men
172,"VON PETERSDORFF, Herbert",GER,Men
173,BERTRAND,FRA,Men
174,CADET,FRA,Men
175,"HOCHEPIED, Maurice",FRA,Men
176,"HOCHEPIED, Victor",FRA,Men
177,VERBECKE,FRA,Men
178,"MARTIN, Louis",FRA,Men
179,"JARVIS, John Arthur",GBR,Men
180,"HALMAY, Zoltan",HUN,Men
181,"LYKKEBERG, Peder",DEN,Men
182,"DE VENDEVILLE, Charles",FRA,Men
183,"SIX, André",FRA,Men
184,"BURGESS, Thomas",FRA,Men
185,COULON,FRA,Men
186,"DECUYPER, Alphonse",FRA,Men
187,DEVENOT,FRA,Men
188,FARDELLE,FRA,Men
189,FAVIER,FRA,Men
190,"LAUFRAY, Louis",FRA,Men
191,LERICHE,FRA,Men
192,"MARTIN, Louis",FRA,Men
193,"MERCHEZ, Désiré",FRA,Men
194,"PESLIER, Henri",FRA,Men
195,PESLOY,FRA,Men
196,"TREFFEL, Charles",FRA,Men
197,"VASSEUR, Paul",FRA,Men
198,"COE, Thomas",GBR,Men
199,"DERBYSHIRE, John Henry",GBR,Men
200,"KEMP, Peter",GBR,Men
201,"LISTER, William",GBR,Men
202,"ROBERTSON, Arthur",GBR,Men
203,"ROBINSON, Eric",GBR,Men
204,"WILKINSON, George",GBR,Men
205,"COHEN, Henri",BEL,Men
206,"DE BACKER, Jean",BEL,Men
207,"DE BEHR, Victor",BEL,Men
208,"FEYAERTS, Fernand",BEL,Men
209,"GREGOIRE, Oscar",BEL,Men
210,"MICHANT, Albert",BEL,Men
211,"SONNEMANS, Victor",BEL,Men
212,"PETIT, Charles Frédéric",FRA,Men
213,"VAN INNIS, Hubert",BEL,Men
214,"THIBAUD, Victor",FRA,Men
215,"MERCIER, Emile",FRA,Men
216,"MOUGIN, Eugène",FRA,Men
217,"HELLE, Henri",FRA,Men
218,"PETIT, Charles Frédéric",FRA,Men
219,"VAN INNIS, Hubert",BEL,Men
220,"THIBAUD, Victor",FRA,Men
221,"FISSEUX, Emile",FRA,Men
222,"HEROUIN, Henri",FRA,Men
223,"VAN INNIS, Hubert",BEL,Men
224,"FOULON, Emmanuel",BEL,Men
225,"DRUART, Jr.",BEL,Men
226,"SERRURIER, Auguste",FRA,Men
227,"GLINEUX, Louis",BEL,Men
228,"GRUMIAUX, Emile",FRA,Men
229,"SERRURIER, Auguste",FRA,Men
230,"ROWLEY, Stanley",AUS,Men
231,"JARVIS, Francis",USA,Men
232,"TEWKSBURY, Walter B. John",USA,Men
233,"MOLONEY, Frederick",USA,Men
234,"KRAENZLEIN, Alvin",USA,Men
235,"MCLEAN, John",USA,Men
236,"BRAY, John",USA,Men
237,"BENNETT, Charles",GBR,Men
238,"DELOGE, Henri",FRA,Men
239,"ROWLEY, Stanley",AUS,Men
240,"TEWKSBURY, Walter B. John",USA,Men
241,"PRITCHARD, Norman",IND,Men
242,"TEWKSBURY, Walter B. John",USA,Men
243,"KRAENZLEIN, Alvin",USA,Men
244,"PRITCHARD, Norman",IND,Men
245,"CHASTANIE, Jacques",FRA,Men
246,"ORTON, George",CAN,Men
247,"ROBINSON, Sidney",GBR,Men
248,"ROBINSON, Sidney",GBR,Men
