event_id,Sport,Discipline,Event
0,Aquatics,Swimming,100M Freestyle
1,Aquatics,Swimming,100M Freestyle For Sailors
2,Aquatics,Swimming,1200M Freestyle
3,Aquatics,Swimming,400M Freestyle
4,Athletics,Athletics,100M
5,Athletics,Athletics,110M Hurdles
6,Athletics,Athletics,1500M
7,Athletics,Athletics,400M
8,Athletics,Athletics,800M
9,Athletics,Athletics,Discus Throw
10,Athletics,Athletics,High Jump
11,Athletics,Athletics,Long Jump
12,Athletics,Athletics,Marathon
13,Athletics,Athletics,Pole Vault
14,Athletics,Athletics,Shot Put
15,Athletics,Athletics,Triple Jump
16,Cycling,Cycling Road,Individual Road Race
17,Cycling,Cycling Track,100KM
18,Cycling,Cycling Track,10KM
19,Cycling,Cycling Track,12-Hour Race
20,Cycling,Cycling Track,1KM Time Trial
21,Cycling,Cycling Track,Sprint Indivual
22,Fencing,Fencing,Foil Individual
23,Fencing,Fencing,"Foil, Masters"
24,Fencing,Fencing,Sabre Individual
25,Gymnastics,Artistic G.,Horizontal Bar
26,Gymnastics,Artistic G.,Parallel Bars
27,Gymnastics,Artistic G.,Pommel Horse
28,Gymnastics,Artistic G.,Rings
29,Gymnastics,Artistic G.,Rope Climbing
30,Gymnastics,Artistic G.,"Team, Horizontal Bar"
31,Gymnastics,Artistic G.,"Team, Parallel Bars"
32,Gymnastics,Artistic G.,Vault
33,Shooting,Shooting,25M Army Pistol
34,Shooting,Shooting,25M Rapid Fire Pistol (60 Shots)
35,Shooting,Shooting,50M Pistol (60 Shots)
36,Shooting,Shooting,"Army Rifle, 200M"
37,Shooting,Shooting,"Army Rifle, 300M"
38,Tennis,Tennis,Doubles
39,Tennis,Tennis,Singles
40,Weightlifting,Weightlifting,Heavyweight - One Hand Lift
41,Weightlifting,Weightlifting,Heavyweight - Two Hand Lift
42,Wrestling,Wrestling Gre-R,Open Event
43,Aquatics,Swimming,1500M Freestyle
44,Aquatics,Swimming,200M Backstroke
45,Aquatics,Swimming,200M Freestyle
46,Aquatics,Swimming,200M Obstacle Event
47,Aquatics,Swimming,200M Team Swimming
48,Aquatics,Swimming,4000M Freestyle
49,Aquatics,Swimming,Underwater Swimming
50,Aquatics,Water polo,Water Polo
51,Archery,Archery,"Au Chapelet, 33M"
52,Archery,Archery,"Au Chapelet, 50M"
53,Archery,Archery,"Au Cordon Doré, 33M"
54,Archery,Archery,"Au Cordon Doré, 50M"
55,Archery,Archery,Sur La Perche À La Herse
56,Archery,Archery,Sur La Perche À La Pyramide
57,Athletics,Athletics,200M
58,Athletics,Athletics,200M Hurdles
59,Athletics,Athletics,3000M Steeplechase
60,Athletics,Athletics,4000M Steeplechase
61,Athletics,Athletics,400M Hurdles
62,Athletics,Athletics,5000M Team
63,Athletics,Athletics,60M
64,Athletics,Athletics,Hammer Throw
