,Municipality,Population
0,Champaign,"86,791"
1,Carbondale,"25,846"
2,Prairie Grove,"1,826"
3,Macomb,"18,118"
4,Brimfield,965
5,Minonk,"2,208"
6,Carmi,"4,913"
7,Gifford,900
8,Broadview,"7,829"
9,Princeton,"7,662"
10,Norris City,"1,216"
11,Joy,390
12,Centreville,"5,059"
13,Danville,"31,554"
14,Oglesby,"3,669"
15,Ava,602
16,Itasca,"9,042"
17,Beecher,"4,382"
18,Benld,"1,616"
19,St. Anne,"1,361"
20,Erie,"1,438"
21,Menominee,235
22,Kilbourne,322
23,Johnsburg,"6,333"
24,Hoffman Estates,"51,282"
25,Newman,774
26,Greenville,"6,607"
27,Du Quoin,"5,818"
28,Kewanee,"12,570"
29,Batchtown,199
30,Oakland,"1,053"
31,Rock City,296
32,Mackinaw,"2,023"
33,Brighton,"2,215"
34,Ridge Farm,904
35,Table Grove,501
36,Ashland,"1,367"
37,Little York,305
38,Kincaid,"1,596"
39,Robinson,"7,614"
40,Antioch,"14,305"
41,Deer Grove,57
42,Algonquin,"30,709"
43,Avon,767
44,Woodstock,"25,198"
45,North Chicago,"30,011"
46,Wamac,"1,178"
47,Oak Grove,589
48,Cahokia,"14,271"
49,Dixon,"15,496"
50,Prophetstown,"2,099"
51,Moweaqua,"1,893"
52,Lynwood,"9,316"
53,Plymouth,442
54,Fithian,445
55,Ursa,579
56,Carrier Mills,"1,938"
57,Calumet City,"36,856"
58,Winnebago,"3,425"
59,Wilsonville,690
60,Harvard,"9,292"
61,Clay City,849
62,Summerfield,405
63,Darien,"22,126"
64,Ottawa,"18,701"
65,Sugar Grove,"9,545"
66,Sibley,300
67,Sheffield,826
68,Gilman,"1,824"
69,German Valley,564
70,Kingston,"1,270"
71,Urbana,"42,375"
72,Johnston City,"3,485"
73,Alton,"26,884"
74,Leland,859
75,Albany,979
76,Carbon Cliff,"1,893"
77,Harmon,127
78,Greenview,906
79,Warsaw,"1,482"
80,Vandalia,"6,914"
81,Kane,285
82,Summit,"11,340"
83,Chicago Heights,"30,087"
84,Waukegan,"87,571"
85,Wenona,"1,026"
86,Rockford,"147,881"
87,Spring Grove,"5,792"
